App categories:
Beauty,11772
Parenting,3810
Action,27546
Personalization,89209
Word,8627
Books & Reference,116728
Entertainment,138275
Music & Audio,154906
Board,10588
House & Home,14368
Education,241090
Events,12841
Lifestyle,118331
Shopping,75253
Racing,10361
News & Magazines,42807
Maps & Navigation,26722
Dating,6524
Communication,48167
Sports,47479
Business,143771
Art & Design,18537
Productivity,79698
Social,44730
Adventure,23199
Finance,65464
Tools,143985
Health & Fitness,83509
Travel & Local,67287
Educational,21306
Casual,50809
Trivia,11794
Food & Drink,73926
Arcade,53789
Card,8176
Photography,35552
Weather,7246
Puzzle,51160
Simulation,23272
Casino,5076
Music,4201
Libraries & Demo,5198
Strategy,8518
Medical,32065
Role Playing,10010
Comics,2862
Auto & Vehicles,18278
Video Players & Editors,14015
